subset,base_prompt,addition_prompt,type,full_prompt,placeholder_prompt,hash_id,compare_in_class_id,compare_in_class_hash,compare_out_class_id,compare_out_class_hash
places,christ the redeemer,surrounded by cherry blossoms,train,christ the redeemer surrounded by cherry blossoms,a place surrounded by cherry blossoms,159fda43b4172d9d660886185b41826fc3aff8234d15b4c54b0c20858d2638df,,,,
places,christ the redeemer,in a dreamscape,validation,christ the redeemer in a dreamscape,a place in a dreamscape,e6158f57dcb6e716afed76aa21c54666a54f7048fa70524dcb0b33ef4c97740f,1,4b6c8bfeac17bcc48f4ee2840d0f88c367c4af8d142ac5a0b05f25079100a4b4,117,3618de0af36cb90a26cc4d98cba8fab8b0a980d73b9d62210437aa92e1e26620
places,the leaning tower of pisa,covered in fog,train,the leaning tower of pisa covered in fog,a place covered in fog,be78a3dcb2bc74dac85aab1accc36418abe792a6d8c4a88793000037599f1850,,,,
places,the leaning tower of pisa,with auroras,validation,the leaning tower of pisa with auroras,a place with auroras,a6ff37777f22d7057377bb8ccd4f61eb2c2f72cb21ae0836c01e470c417ed942,23,7362a78f128f51c957929773beb90f53412ab495a4ea871f33c017468c4f4de2,103,2e6d90d4da3056d4069893f719c984db425d8596fff25b0f1dfd26eaafe02e4d
places,the burj khalifa,under a full moon,train,the burj khalifa under a full moon,a place under a full moon,b7c80da42e0ad3ec2510fce93f6cff46bd68e51ecbefb2fd2d3c6a6fb08b7c57,,,,
places,the burj khalifa,in a watercolor painting,validation,the burj khalifa in a watercolor painting,a place in a watercolor painting,ba1f50427b5ca19ce2909b38bf60562c9a057739d46aa1b3cf987e3311547a50,1,4b6c8bfeac17bcc48f4ee2840d0f88c367c4af8d142ac5a0b05f25079100a4b4,55,51680c6453400f37c126d3f4ec738a43c5ce72d8a4349d624f8d826130b60cc3
places,the louvre museum,surrounded by cherry blossoms,train,the louvre museum surrounded by cherry blossoms,a place surrounded by cherry blossoms,d805d0a79ff4976102e8dbc539b8ed91be66267a2e99f44c2705a7a319362e42,,,,
places,the louvre museum,in the daytime,validation,the louvre museum in the daytime,a place in the daytime,a62edb6c8fc8d314c3b5035c70eae5e8fe583b38d5c0b35e31e4f4b15e704ee3,25,153fe778ed87817349998764193e20af4e060eec868add461c3d6af3c5ffcc24,153,fa9e0c60341651b6fc803c7a4bc507fade5156d3a72d30587c3e1607e230667a
places,the acropolis of athens,covered in fog,train,the acropolis of athens covered in fog,a place covered in fog,f4f47c09196040e828f9ac0aec83eb88182467f41509e89ab979792e1254e1e9,,,,
places,the acropolis of athens,in the daytime,validation,the acropolis of athens in the daytime,a place in the daytime,9d3de859d049b2df8ab401f27c2fceaed28389031e3bf51d7b97ff2450ec58d0,19,a62edb6c8fc8d314c3b5035c70eae5e8fe583b38d5c0b35e31e4f4b15e704ee3,71,7f0df095bfd9c2dc46031d5d3902e9ad2adfd89a676cb497d70ff39824678d1a
places,the golden gate bridge,at dawn,train,the golden gate bridge at dawn,a place at dawn,1a17da41063403ba05af7f0591e47f3963069a214996ef627c6c3234356d27f6,,,,
places,the golden gate bridge,with auroras,validation,the golden gate bridge with auroras,a place with auroras,7362a78f128f51c957929773beb90f53412ab495a4ea871f33c017468c4f4de2,3,5cd533fdcc9299c08f82322e40a80b9bd352847c1348feb99422dfefb5683955,71,7f0df095bfd9c2dc46031d5d3902e9ad2adfd89a676cb497d70ff39824678d1a
places,stonehenge of england,as a miniature model,train,stonehenge of england as a miniature model,a place as a miniature model,a8858356755be801e3de689bcd11e4ac54c49521b918deeecad8558a9bb27d4f,,,,
places,stonehenge of england,under a blazing summer sun,validation,stonehenge of england under a blazing summer sun,a place under a blazing summer sun,153fe778ed87817349998764193e20af4e060eec868add461c3d6af3c5ffcc24,39,52bc3f61f0bd8ff1260573758ab3bbc97c7146926782c00d8ef5da25b92cba97,161,d3c8b01e142f353ba875e6a964e4b90f2bfa4dad38ef5bb72e924eb5452b1acc
places,the sydney opera house,with a sunset,train,the sydney opera house with a sunset,a place with a sunset,666e484f426398dd852ed71bbc077f853f098005975074b2f280da40e6242fa5,,,,
places,the sydney opera house,lit by fireworks,validation,the sydney opera house lit by fireworks,a place lit by fireworks,284ee7a21792d4b7ddd6fbefd9451a519cda94863dd7ee5bb121827294c22dc6,5,68ee18482cda48aeb3541f72bda6f8b85e1c867ebf11a04fa3126b82592b32a5,51,61050646fb1936d82023111a0b7a2f5bd933bd00b53eb4fc7ceef308e82df8db
places,big ben of london,with a rainbow,train,big ben of london with a rainbow,a place with a rainbow,00b05c42eb9c766efb8ad697e1aa9cf0953e5c4244fe8230995519ffc5ac77bb,,,,
places,big ben of london,with spring flowers,validation,big ben of london with spring flowers,a place with spring flowers,9b99416c1b109f08c5a3f27150630a3d2587d855c3ab5327030a4c9847fcd2b0,33,fe94c6f0fa123512ce665a61ca7f2f260faf35f3ad6847b7f4d1b6859bee7850,145,9482886d28e10f5f4608e5308595ed9fdf884fe855469dc31f9c819742d6e535
places,moai statues of easter island,in black and white,train,moai statues of easter island in black and white,a place in black and white,08c7a0b43c090d9a8009a2b900f8e7436beadb92b2755c2468400cf3a481f90d,,,,
places,moai statues of easter island,in van gogh starry night style,validation,moai statues of easter island in van gogh starry night style,a place in van gogh starry night style,904ab7ba9131f7c548bc8ddf1f05424246d90fed55952acc9abc08fecc1fd730,5,68ee18482cda48aeb3541f72bda6f8b85e1c867ebf11a04fa3126b82592b32a5,137,8c488e84335a760c314b1aba4bdd0eb81e7d7aea6917070b8ed3a595269cd121
places,the white house of washington dc,with a rainbow,train,the white house of washington dc with a rainbow,a place with a rainbow,d226f4e72562853e410bc17cb504376bae2293711afa83cb5495e464abb814d4,,,,
places,the white house of washington dc,in the snow,validation,the white house of washington dc in the snow,a place in the snow,fe94c6f0fa123512ce665a61ca7f2f260faf35f3ad6847b7f4d1b6859bee7850,37,986a977be259fb450e2f148be0b71f027788d3f553b9b3c7862cded8c355eb2c,139,9f6faf448efec380d45af6bc34e35eabbf72b8013db7f4e5bd57cf4f09e62dca
places,burj al arab of dubai,in black and white,train,burj al arab of dubai in black and white,a place in black and white,e49e27bdd8f2415ff4b1c3ec4e010aa8dee8f478c5b91b7873a0994c1eb688c5,,,,
places,burj al arab of dubai,in a magical forest,validation,burj al arab of dubai in a magical forest,a place in a magical forest,48f63397d933e6fc4baed26d5d49ab133189d4e0952b24888a60b2b0ee3b1ab3,9,e1c3090f1d8dc38cca66cddac9e20a3d925da037c36e37c8329eeeac95fff9e0,57,68c6f6abd408218c797029d6c957971330b1d795e93a3f060b64143af525f8b3
places,the empire state building of new york city,with falling stars,train,the empire state building of new york city with falling stars,a place with falling stars,a3af98fb70dddf41c58bb645c73208631d8093a7e88bf771ed3b15f4775efeae,,,,
places,the empire state building of new york city,submerged underwater,validation,the empire state building of new york city submerged underwater,a place submerged underwater,986a977be259fb450e2f148be0b71f027788d3f553b9b3c7862cded8c355eb2c,31,904ab7ba9131f7c548bc8ddf1f05424246d90fed55952acc9abc08fecc1fd730,161,d3c8b01e142f353ba875e6a964e4b90f2bfa4dad38ef5bb72e924eb5452b1acc
places,chichen itza of mexico,with falling stars,train,chichen itza of mexico with falling stars,a place with falling stars,d4c2a6e4b9960d4c6180c6a1d83161fa009c9210cf69c9b9187959eaf7791bec,,,,
places,chichen itza of mexico,made entirely of glass,validation,chichen itza of mexico made entirely of glass,a place made entirely of glass,52bc3f61f0bd8ff1260573758ab3bbc97c7146926782c00d8ef5da25b92cba97,35,48f63397d933e6fc4baed26d5d49ab133189d4e0952b24888a60b2b0ee3b1ab3,61,b9b7fcb89f8a12a5793108163f8f970b8d6a08311708341c189ca35f70dc1881
celebrities,taylor swift,lying on a picnic blanket,train,taylor swift lying on a picnic blanket,a person lying on a picnic blanket,721b2f99ff7525cb9c73a7c3ca7333dc5e6ae87765cb99c2351dfea73a558b32,,,,
celebrities,taylor swift,on stage under bright lights,validation,taylor swift on stage under bright lights,a person on stage under bright lights,e27e75446df1960eb571ba52f389770acf5db673b8e8b8a8e1e574358019a938,59,64f9b235c288fe70e6e4e8ae1ee922405501c2c47d196ad45698afe76775b28b,127,3c048e14c0c0443c23dcf39e3e4b78732944191118a943c7463513fcd4e53583
celebrities,albert einstein,walking in a park,train,albert einstein walking in a park,a person walking in a park,946d308e6952780f2a2905201fc904a1cd6911450361da31770ead5a85553c0b,,,,
celebrities,albert einstein,in Times Square at night,validation,albert einstein in Times Square at night,a person in Times Square at night,6a2285147bb07b7bfb41d3cfa5d14792fbf0a70cd5ee069540da0ab06963a2f8,97,a98059851aabb22c9e497d401fd06e516a6b0fd1a0d588bf2c51b5b81f4ba743,137,8c488e84335a760c314b1aba4bdd0eb81e7d7aea6917070b8ed3a595269cd121
celebrities,abraham lincoln,standing by a window,train,abraham lincoln standing by a window,a person standing by a window,d2f030a5b199dc83a7fbb1337a61feb32b20d8edf008e1e5ae6af9e873c70390,,,,
celebrities,abraham lincoln,looking directly at the viewer,validation,abraham lincoln looking directly at the viewer,a person looking directly at the viewer,5a2c5aeda72b9bb4d6b86ac158cf0de0606e6d9b30542ae8b91eabc2d3adf1d0,69,1e1a26b244fb871acae77af214a8eca99d306a2b150d3a9ffdcfb048f38ebb2c,27,284ee7a21792d4b7ddd6fbefd9451a519cda94863dd7ee5bb121827294c22dc6
celebrities,barack obama,lying in the grass,train,barack obama lying in the grass,a person lying in the grass,c6d3afd74a882c4961203b1ba39e505220fe6f39925b75faae7280731347d5e5,,,,
celebrities,barack obama,sitting on a chair,validation,barack obama sitting on a chair,a person sitting on a chair,f8596e6e8b584dfc364cf832a9aeadbd39c5a9d0b5bbcd537996d0631075d886,77,93e8ff925342a62fa2fdbb9515291a3f26d407efc1f4c6b361302361534d84ff,157,a61d660175584029af472c89a7283f27086781f4304bd2638e1cdccae38f4215
celebrities,elon musk,sitting on a couch,train,elon musk sitting on a couch,a person sitting on a couch,e301e6c27f6eeca447d99021233b30ec858e5c5cc8e62518c23613467fb11374,,,,
celebrities,elon musk,looking directly at the viewer,validation,elon musk looking directly at the viewer,a person looking directly at the viewer,e14f3541c44929a9f10f41ec9c8de14b22772ff86e0ab5ad40687768b21fa1f1,89,61aafbe31d60c23e6ca92e74b46db469e2d58ae93e71f07ff8169baf23666711,149,35c2d0da08847027ceb7cca2d39cb09b55fd15e5ab754c51e9fc3b57da1133d9
celebrities,rihanna,at midnight with a full moon,train,rihanna at midnight with a full moon,a person at midnight with a full moon,f75042cc19b69d2abd24191a1bd0848425b97e0b0294c73db3219301518fa5cd,,,,
celebrities,rihanna,in a colorful marketplace,validation,rihanna in a colorful marketplace,a person in a colorful marketplace,61050646fb1936d82023111a0b7a2f5bd933bd00b53eb4fc7ceef308e82df8db,55,51680c6453400f37c126d3f4ec738a43c5ce72d8a4349d624f8d826130b60cc3,151,e0d882da3998ccde9f4a9f8a83a043ab3fc0a78240c318760c2973af59a036ad
celebrities,beyonce,wearing a leather jacket,train,beyonce wearing a leather jacket,a person wearing a leather jacket,807e0f33f0a3cf215189a9ff7a17a94bb43e873569ae81cee2cedd62e00717e9,,,,
celebrities,beyonce,with neon lights reflecting on their face,validation,beyonce with neon lights reflecting on their face,a person with neon lights reflecting on their face,26ba3e47b25cc5690466d40111452a93c2760ce967d9833c954327d0efe05a18,61,b9b7fcb89f8a12a5793108163f8f970b8d6a08311708341c189ca35f70dc1881,111,7794f365328489fec8e5a2455064ba6b9e711881c306944bdd339d4b62ab2462
celebrities,will smith,at a coffee shop,train,will smith at a coffee shop,a person at a coffee shop,9060037a3e3d65804c407453a2b0cd1100d2a2ae6fab170b524ebc531e59d630,,,,
celebrities,will smith,in a greenhouse filled with plants,validation,will smith in a greenhouse filled with plants,a person in a greenhouse filled with plants,51680c6453400f37c126d3f4ec738a43c5ce72d8a4349d624f8d826130b60cc3,85,26be19b000484a150bf34160edf20f986cd31c73c101f20eca9b4b576559aefe,143,13c1c35c67980666ef3c922786c334f6f3854d3a87696e6cecbfe9ac16077864
celebrities,johnny depp,sitting on a couch,train,johnny depp sitting on a couch,a person sitting on a couch,f4a7aa0bc985b7da7751aba0808e8450fde337139d973505fd0dd6d3f23f27b5,,,,
celebrities,johnny depp,in Times Square at night,validation,johnny depp in Times Square at night,a person in Times Square at night,68c6f6abd408218c797029d6c957971330b1d795e93a3f060b64143af525f8b3,65,cf3e8c497b617f553bd0d45f2fe693297512cee54f36b4b39e975652f01542bd,117,3618de0af36cb90a26cc4d98cba8fab8b0a980d73b9d62210437aa92e1e26620
celebrities,angelina jolie,at a train station,train,angelina jolie at a train station,a person at a train station,20acf30b4efbfdc71aa1ba78eec14104f5d3f6640697c776848bb640b2503f85,,,,
celebrities,angelina jolie,laughing with joy,validation,angelina jolie laughing with joy,a person laughing with joy,64f9b235c288fe70e6e4e8ae1ee922405501c2c47d196ad45698afe76775b28b,99,ca25e717ef71199cc69e58f3e6928f35b1905401afb57cb2765d15df3f89ca0d,127,3c048e14c0c0443c23dcf39e3e4b78732944191118a943c7463513fcd4e53583
celebrities,lionel messi,at midnight with a full moon,train,lionel messi at midnight with a full moon,a person at midnight with a full moon,2db1cea7110da850d6fd666fc827e0868068be3953ba571031b584e873cd6113,,,,
celebrities,lionel messi,under a spotlight,validation,lionel messi under a spotlight,a person under a spotlight,b9b7fcb89f8a12a5793108163f8f970b8d6a08311708341c189ca35f70dc1881,71,7f0df095bfd9c2dc46031d5d3902e9ad2adfd89a676cb497d70ff39824678d1a,15,a6ff37777f22d7057377bb8ccd4f61eb2c2f72cb21ae0836c01e470c417ed942
celebrities,cristiano ronaldo,at a train station,train,cristiano ronaldo at a train station,a person at a train station,343bf69b7e31a9ce647b39197dd4db5db258ad30fec68570cba7bfa59a3d10a2,,,,
celebrities,cristiano ronaldo,on a bright sunny day,validation,cristiano ronaldo on a bright sunny day,a person on a bright sunny day,372f103f59d6120a44339444947bf46eb24d6942236a91d534ca71483ff514d3,55,51680c6453400f37c126d3f4ec738a43c5ce72d8a4349d624f8d826130b60cc3,29,9b99416c1b109f08c5a3f27150630a3d2587d855c3ab5327030a4c9847fcd2b0
celebrities,david beckham,by the ocean during sunset,train,david beckham by the ocean during sunset,a person by the ocean during sunset,d4306aba17b52d253549f539fbb3225f78b75a49034170835d46c28a0499c860,,,,
celebrities,david beckham,walking in the street,validation,david beckham walking in the street,a person walking in the street,cf3e8c497b617f553bd0d45f2fe693297512cee54f36b4b39e975652f01542bd,45,5a2c5aeda72b9bb4d6b86ac158cf0de0606e6d9b30542ae8b91eabc2d3adf1d0,103,2e6d90d4da3056d4069893f719c984db425d8596fff25b0f1dfd26eaafe02e4d
celebrities,steve jobs,standing by a window,train,steve jobs standing by a window,a person standing by a window,d9fb7a791968e077dc0641d0b0947a9123861a4ccb49cb01d1b9b9d8e7da4b3f,,,,
celebrities,steve jobs,in a colorful marketplace,validation,steve jobs in a colorful marketplace,a person in a colorful marketplace,cb4bcfef62da27e6d0614c6e866cfad4d3afede5e82472c350bae51be5f11412,41,e27e75446df1960eb571ba52f389770acf5db673b8e8b8a8e1e574358019a938,135,cf155e3d581b938181091f95e1b6b8b0d6efb8dd0ddbc913e77f5e6d013130cd
celebrities,donald trump,lying on a picnic blanket,train,donald trump lying on a picnic blanket,a person lying on a picnic blanket,3375b19501096a052fafdac31316232b1e7c6bde2c374109c9cdf6f82aed4a95,,,,
celebrities,donald trump,crying softly,validation,donald trump crying softly,a person crying softly,1e1a26b244fb871acae77af214a8eca99d306a2b150d3a9ffdcfb048f38ebb2c,77,93e8ff925342a62fa2fdbb9515291a3f26d407efc1f4c6b361302361534d84ff,29,9b99416c1b109f08c5a3f27150630a3d2587d855c3ab5327030a4c9847fcd2b0
celebrities,bill gates,lying on a picnic blanket,train,bill gates lying on a picnic blanket,a person lying on a picnic blanket,6b64e6db9b5b0b6a67e4e1f8bcdcbe564c5fbac8efa53517597227b00dbcd852,,,,
celebrities,bill gates,with neon lights reflecting on their face,validation,bill gates with neon lights reflecting on their face,a person with neon lights reflecting on their face,7f0df095bfd9c2dc46031d5d3902e9ad2adfd89a676cb497d70ff39824678d1a,79,34e5516674f0a4027534d9d500f114a2442f36c3f10fd99e3fe3e87b99b6e3e0,29,9b99416c1b109f08c5a3f27150630a3d2587d855c3ab5327030a4c9847fcd2b0
celebrities,george clooney,in a modern apartment,train,george clooney in a modern apartment,a person in a modern apartment,6964284289547d838906f740fede27653531d3c2e1fd74131ec8389cae60d97e,,,,
celebrities,george clooney,wearing a turtleneck,validation,george clooney wearing a turtleneck,a person wearing a turtleneck,7b0732bef34b0018983295c143b6e1895aa4200cf70e98e8b3191a031dea7f45,41,e27e75446df1960eb571ba52f389770acf5db673b8e8b8a8e1e574358019a938,9,e1c3090f1d8dc38cca66cddac9e20a3d925da037c36e37c8329eeeac95fff9e0
celebrities,arnold schwarzenegger,walking in a park,train,arnold schwarzenegger walking in a park,a person walking in a park,bb766832deae5706746f2fa6e0cd7cf00a7dd7d68328619d1956c58debfe0908,,,,
celebrities,arnold schwarzenegger,dressed in winter clothes with a scarf,validation,arnold schwarzenegger dressed in winter clothes with a scarf,a person dressed in winter clothes with a scarf,6aba8363c05d6f494a4bcda21d46974af033f0a4d70befa28e82ddfd4daede8b,87,71c12263714ce6612ecb534ccc160148190cc82397b3bd094eb681c5444ac732,141,5e6b328d296985fcb8b899f11e6349d84671dee37b233b88ec5ec89d5bd68f4d
celebrities,tom cruise,sitting on a couch,train,tom cruise sitting on a couch,a person sitting on a couch,4e011fbc0cac72ffb57fcd2d4121e6821d632d4f4ff30eb64ef963996a5d6130,,,,
celebrities,tom cruise,on stage under bright lights,validation,tom cruise on stage under bright lights,a person on stage under bright lights,93e8ff925342a62fa2fdbb9515291a3f26d407efc1f4c6b361302361534d84ff,43,6a2285147bb07b7bfb41d3cfa5d14792fbf0a70cd5ee069540da0ab06963a2f8,29,9b99416c1b109f08c5a3f27150630a3d2587d855c3ab5327030a4c9847fcd2b0
celebrities,vladimir putin,in a casual streetwear outfit,train,vladimir putin in a casual streetwear outfit,a person in a casual streetwear outfit,a70439b85b28203ee73cc1b2ea683d9075eda299bd19912af5bc3248bd6bd094,,,,
celebrities,vladimir putin,looking directly at the viewer,validation,vladimir putin looking directly at the viewer,a person looking directly at the viewer,34e5516674f0a4027534d9d500f114a2442f36c3f10fd99e3fe3e87b99b6e3e0,45,5a2c5aeda72b9bb4d6b86ac158cf0de0606e6d9b30542ae8b91eabc2d3adf1d0,5,68ee18482cda48aeb3541f72bda6f8b85e1c867ebf11a04fa3126b82592b32a5
celebrities,michael jackson,at a train station,train,michael jackson at a train station,a person at a train station,12b099de9c8ea80c11fe913ec45b33ad4771c9dd5dc348822356f98460e58cdf,,,,
celebrities,michael jackson,crying softly,validation,michael jackson crying softly,a person crying softly,371db0df1cdcafe056897fcaae5f9e8d1557877ec5e315fbd8e91efe8444ff50,97,a98059851aabb22c9e497d401fd06e516a6b0fd1a0d588bf2c51b5b81f4ba743,103,2e6d90d4da3056d4069893f719c984db425d8596fff25b0f1dfd26eaafe02e4d
celebrities,justin bieber,standing by a window,train,justin bieber standing by a window,a person standing by a window,e8cd330af43380e62b0f2d81eedfeb68ef67a9919653319e51050759a524571b,,,,
celebrities,justin bieber,sitting on a chair,validation,justin bieber sitting on a chair,a person sitting on a chair,67e1444478b8b198c66538c1379e7adc7eab3b73d8bb2cd6c105b180ce3ac15d,45,5a2c5aeda72b9bb4d6b86ac158cf0de0606e6d9b30542ae8b91eabc2d3adf1d0,125,6606b4e9163d0b17f215656b6ed055bed4e8eb049bfefad5de834999d783f423
celebrities,ed sheeran,walking in a park,train,ed sheeran walking in a park,a person walking in a park,86ab0cbfe91dfa0f10effb285cd57a4c6e541160186457c0072f4d4fc0655542,,,,
celebrities,ed sheeran,in a colorful marketplace,validation,ed sheeran in a colorful marketplace,a person in a colorful marketplace,26be19b000484a150bf34160edf20f986cd31c73c101f20eca9b4b576559aefe,55,51680c6453400f37c126d3f4ec738a43c5ce72d8a4349d624f8d826130b60cc3,35,48f63397d933e6fc4baed26d5d49ab133189d4e0952b24888a60b2b0ee3b1ab3
celebrities,mahatma gandhi,at an art gallery,train,mahatma gandhi at an art gallery,a person at an art gallery,2d8c78ed659fd90da76be2c52025adfe2b9f82e7260ade7fcca3a604e7674a87,,,,
celebrities,mahatma gandhi,in athletic wear with a gym bag,validation,mahatma gandhi in athletic wear with a gym bag,a person in athletic wear with a gym bag,71c12263714ce6612ecb534ccc160148190cc82397b3bd094eb681c5444ac732,83,67e1444478b8b198c66538c1379e7adc7eab3b73d8bb2cd6c105b180ce3ac15d,123,54ae9c7d1b117d0a9a59bcca2417fa97b664c770a39fcfd9019adfdbcfaf4984
celebrities,lebron james,in an oversized hoodie,train,lebron james in an oversized hoodie,a person in an oversized hoodie,9d03b64d8f20da7f07a8e17f55c661a96e4c653ea07ab826bb98a2a078b90eb7,,,,
celebrities,lebron james,laughing with joy,validation,lebron james laughing with joy,a person laughing with joy,61aafbe31d60c23e6ca92e74b46db469e2d58ae93e71f07ff8169baf23666711,53,26ba3e47b25cc5690466d40111452a93c2760ce967d9833c954327d0efe05a18,129,207079f00525fa5ac46e0613e7aa779ea96c76c7faabfd2db49348cabe770aef
celebrities,morgan freeman,in a cozy cabin,train,morgan freeman in a cozy cabin,a person in a cozy cabin,edf1bab22e7edba7ea6ae1f4632b8a5d8b4532fc6eea6a0d52c5cde954c84e99,,,,
celebrities,morgan freeman,in athletic wear with a gym bag,validation,morgan freeman in athletic wear with a gym bag,a person in athletic wear with a gym bag,2d1b6b98748daf744ce171d67d273cbb065cc3a04939bc529f833083cf305638,49,e14f3541c44929a9f10f41ec9c8de14b22772ff86e0ab5ad40687768b21fa1f1,153,fa9e0c60341651b6fc803c7a4bc507fade5156d3a72d30587c3e1607e230667a
celebrities,jennifer lopez,in a cozy cabin,train,jennifer lopez in a cozy cabin,a person in a cozy cabin,9582b05a56405c0cda9d88b89fcdd583d11de271928150bd970ef18a22623b93,,,,
celebrities,jennifer lopez,sitting on a bench,validation,jennifer lopez sitting on a bench,a person sitting on a bench,b402177547eb6406fcaa5acaa5f3974c088fc448033a067ee82f508a09ac0258,99,ca25e717ef71199cc69e58f3e6928f35b1905401afb57cb2765d15df3f89ca0d,133,853d9f2d311de953dd0840ab5eb68a277112aec5bc15e0b5ccfb2c75e7e9183f
celebrities,george washington,by the ocean during sunset,train,george washington by the ocean during sunset,a person by the ocean during sunset,dc09685a66f815e49db4d6385f25a53f86410c6ebc99d69cbfd2315382ddf257,,,,
celebrities,george washington,walking in the street,validation,george washington walking in the street,a person walking in the street,509f3b306a6b784bbb8876f96278c7e137bf4f8bf4a5e87dfec014661fbdac5f,77,93e8ff925342a62fa2fdbb9515291a3f26d407efc1f4c6b361302361534d84ff,121,8a95ce312e106ecefc740ff7db370ac681e7d201f7e7e68e1a04f49770636a35
celebrities,queen elizabeth ii,sitting on a couch,train,queen elizabeth ii sitting on a couch,a person sitting on a couch,7db0d8c56bf1a874a67f8afee00da4044005d31fcad5fc7709729880d20f51a4,,,,
celebrities,queen elizabeth ii,in a greenhouse filled with plants,validation,queen elizabeth ii in a greenhouse filled with plants,a person in a greenhouse filled with plants,a98059851aabb22c9e497d401fd06e516a6b0fd1a0d588bf2c51b5b81f4ba743,55,51680c6453400f37c126d3f4ec738a43c5ce72d8a4349d624f8d826130b60cc3,161,d3c8b01e142f353ba875e6a964e4b90f2bfa4dad38ef5bb72e924eb5452b1acc
celebrities,princess diana,at a coffee shop,train,princess diana at a coffee shop,a person at a coffee shop,3a74b9d5ad434217ea1a15b0d43d5b9ebb2fb3779ae2d2a38ade501bb59a9aef,,,,
celebrities,princess diana,dressed in winter clothes with a scarf,validation,princess diana dressed in winter clothes with a scarf,a person dressed in winter clothes with a scarf,ca25e717ef71199cc69e58f3e6928f35b1905401afb57cb2765d15df3f89ca0d,71,7f0df095bfd9c2dc46031d5d3902e9ad2adfd89a676cb497d70ff39824678d1a,113,d2d1e95b6f107f1c114a96ea30f7b98b7d0890499238eff2064ecef814a8138a
copyrights,the batman,as a paper cutout,train,the batman as a paper cutout,a character as a paper cutout,42699ecc038eb5cac25fa6766106c81c63b3dc95485dc390893e9afb83746357,,,,
copyrights,the batman,in a comic book style,validation,the batman in a comic book style,a character in a comic book style,6b66f45b1f3a0f65b2c2fa1c866095116da2a847e368a137195639597cc103b4,115,4b7173c2ade3e2c96c2d1bf397c2c525dab4490db9cbfc82dbf96f6d0e330e7a,13,e6158f57dcb6e716afed76aa21c54666a54f7048fa70524dcb0b33ef4c97740f
